May 2018 SMD Report,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"TABLE 1.  U.S. SUGAR SUPPLY AND USE, FISCAL YEAR 2018 (SHORT TONS, RAW VALUE)  1/",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ITEM,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,TOTAL,,
Beginning stocks:,"896,183","1,139,027","1,397,322","1,715,888","1,952,992","2,049,100","2,060,443","2,002,127",0,0,0,0,"896,183",,
    Processor stocks,"204,419","813,080","1,227,423","1,614,405","1,867,173","1,986,098","2,006,965","1,954,899",0,0,0,0,"204,419",,
    Stocks held for others,"691,764","325,947","169,899","101,483","85,819","63,002","53,478","47,227",0,0,0,0,"691,764",,
Beet sugar production,"756,071","724,935","703,363","652,515","507,420","462,201","363,198","278,304",0,0,0,0,"4,448,007",,
Beets sliced (net tons),"4,765,929","4,595,691","4,596,042","4,306,845","3,343,360","2,714,901","1,952,148","1,417,082",0,0,0,0,"27,691,998",,
Supply,"1,652,254","1,863,962","2,100,685","2,368,403","2,460,412","2,511,300","2,423,641","2,280,431",0,0,0,0,"5,344,190",,
Exports,0,40,20,0,0,0,120,0,0,0,0,0,181,,
Domestic deliveries:,"518,415","471,093","383,590","412,271","412,060","450,860","420,780","431,722",0,0,0,0,"3,500,792",,
    Alcohol non-human use,0,0,0,0,0,0,0,0,0,0,0,0,0,,
    Livestock feed,541,260,141,476,319,277,445,"1,225",0,0,0,0,"3,685",,
    Products Re-export Program,30,48,22,0,211,"1,030",5029,3338,0,0,0,0,"9,708",,
    Human use:  ,"517,843","470,786","383,427","411,794","411,530","449,553","415,306","427,159",0,0,0,0,"3,487,399",,
        Domestic food use sales,"152,026","314,738","315,010","396,131","388,712","440,029","409,056","419,837",0,0,0,0,"2,835,540",,
        Undelivered sales,"11,235",0,"5,029","10,700",0,0,0,0,0,0,0,0,26964,,
"        Sold previous, delivered this FY","377,052","156,048","73,446","26,363","22,817","9,524","6,251","7,322",0,0,0,0,"678,823",,
Miscellaneous:,"-5,188","-4,494","1,187","3,140",-749,-2,613,-363,0,0,0,0,"-5,855",,
    Inventory adjustment  2/,238,603,"1,452",516,408,"1,583",425,1624,0,0,0,0,6849,,
    Intra-industry sales less receipts  3/,"-5,426","-5,097",-265,"2,625","-1,156","-1,586",189,"-1,987",0,0,0,0,"-12,704",,
Use,"513,227","466,640","384,797","415,411","411,312","450,858","421,514","431,359",0,0,0,0,"3,495,118",,
Ending stocks:,"1,139,027","1,397,322","1,715,888","1,952,992","2,049,100","2,060,443","2,002,127","1,849,072",0,0,0,0,"1,849,072",,
    Processor stocks,"813,080","1,227,423","1,614,405","1,867,173","1,986,098","2,006,965","1,954,899","1,809,167",0,0,0,0,"1,809,167",,
    Stocks held for others,"325,947","169,899","101,483","85,819","63,002","53,478","47,227","39,905",0,0,0,0,"39,905",,
,,,,,,,,,,,,,,,
"1/ Numbers may not add due to rounding.  2/ Data for damaged refined crystalline are included.  3/ Reflects sales of sugar by processors to other processors and refiners, less receipts of such sales.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"TABLE 3.  U. S. SUGAR SUPPLY AND USE BY CANE PROCESSORS, FISCAL YEAR 2018 (SHORT TONS, RAW VALUE)  1/",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ITEM,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,TOTAL,,
,,,,,,,,,,,,,,,
Beginning stocks,"12,982","446,448","998,576","1,528,744","1,773,405","1,845,775","1,934,372","1,746,270",0,0,0,0,"12,982",,
Cane sugar production,"658,590","923,504","921,809","489,715","348,124","390,863","168,340","71,818",0,0,0,0,"3,972,764",,
Supply,"671,571","1,369,952","1,920,384","2,018,460","2,121,529","2,236,638","2,102,713","1,818,088",0,0,0,0,"3,985,745",,
Exports,"9,189",0,"23,601","8,779",0,0,0,0,0,0,0,0,"41,569",,
Domestic deliveries:,63,30,72,87,10,22,36,181,0,0,0,0,502,,
     Alcohol non-human use,0,0,0,0,0,0,0,0,0,0,0,0,0,,
     Livestock feed,63,30,72,87,10,22,36,181,0,0,0,0,502,,
     Domestic food use sales,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Miscellaneous:,"215,871","371,346","367,967","236,188","275,744","302,244","356,406","292,485",0,0,0,0,"2,418,251",,
     Inventory adjustment,25,"-6,884",0,15,9,21,"15,460",0,0,0,0,0,"8,645",,
     Intra-industry sales less receipts  2/,"215,847","378,230","367,967","236,173","275,736","302,222","340,946","292,485",0,0,0,0,"2,409,606",,
Use,"225,123","371,376","391,640","245,054","275,754","302,266","356,442","292,666",0,0,0,0,"2,460,323",,
Ending stocks,"446,448","998,576","1,528,744","1,773,405","1,845,775","1,934,372","1,746,270","1,525,423",0,0,0,0,"1,525,423",,
,,,,,,,,,,,,,,,
"1/ Numbers may not add due to rounding.  2/  Reflects sales of sugar by processors to other processors and refiners, less receipts of such sales.  ",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"TABLE 4.  U.S. SUGAR SUPPLY AND USE BY CANE REFINERS, FISCAL YEAR 2018 (SHORT TONS, RAW VALUE)   1/",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ITEM,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,TOTAL,,
,,,,,,,,,,,,,,,
Beginning stocks,"966,827","788,950","876,757","853,989","760,212","806,884","805,117","957,580",0,0,0,0,"966,827",,
Raw imports,"238,909","284,522","114,901","93,216","256,908","222,066","284,236","219,664",0,0,0,0,"1,714,422",,
Refined imports,"20,810",944,"3,453","16,396","8,017","5,385","5,532","14,273",0,0,0,0,"74,810",,
Supply,"1,226,547","1,074,416","995,110","963,602","1,025,137","1,034,334","1,094,885","1,191,516",0,0,0,0,"2,756,059",,
Exports,"28,131","4,733","3,532","20,044","11,953","20,427","10,710","7,043",0,0,0,0,"106,573",,
Domestic deliveries:,"547,930","515,366","456,118","486,997","466,570","533,896","493,302","546,137",0,0,0,0,"4,046,316",,
    Ethanol,0,0,0,0,0,0,0,0,0,0,0,0,0,,
    Polyhydric alcohol,"1,138",987,894,876,"1,133",886,"1,010","2,808",0,0,0,0,"9,732",,
    Livestock feed,57,29,75,84,7,247,262,406,0,0,0,0,"1,166",,
    Products Re-export Program,"8,362","8,755","8,551","9,795","8,561","10,444","12,009","5,620",0,0,0,0,"72,096",,
    Domestic food use sales,"538,373","505,595","446,599","476,243","456,869","522,319","480,020","537,304",0,0,0,0,"3,963,322",,
Miscellaneous:,"-138,464","-322,440","-318,530","-303,651","-260,269","-325,105","-366,707","-317,836",0,0,0,0,"-2,353,002",,
    Refining loss,"3,558","1,953","5,844","10,101","-3,913","1,895","5,722","-7,636",0,0,0,0,"17,525",,
    Inventory adjustment,"1,952",271,616,"1,241","3,551","2,880",968,"2,200",0,0,0,0,"13,679",,
    Intra-industry sales less receipts  2/,"-143,975","-324,664","-324,990","-314,992","-259,906","-329,880","-373,398","-312,401",0,0,0,0,"-2,384,205",,
Use,"437,597","197,659","141,121","203,390","218,254","229,217","137,305","235,345",0,0,0,0,"1,799,887",,
Ending stocks,"788,950","876,757","853,989","760,212","806,884","805,117","957,580","956,172",0,0,0,0,"956,172",,
,,,,,,,,,,,,,,,
"1/  Numbers may not add due to rounding.  2/ Reflects sales of sugar by refiners to other processors and refiners, less receipts of such sales. 3/ FY 2018 exports to date include exports of raw sugar (52,131 st,rv) and refined beet sugar (22,314 st,rv).",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"TABLE 5.  U.S. SUGAR PRODUCTION BY SUGAR BEET AND SUGARCANE PROCESSORS, FISCAL YEAR 2018 AND 2017 (SHORT TONS, RAW VALUE)  1/",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
FY 2018,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,TOTAL,,
,,,,,,,,,,,,,,,
From domestic sugar beets,"756,071","724,935","703,363","623,082","498,912","462,201","363,198","278,304",0,0,0,0,"4,410,065",,
From imported sugar beets,0,0,0,"29,434","8,507",0,0,0,0,0,0,0,"37,941",,
       Subtotal,"756,071","724,935","703,363","652,515","507,420","462,201","363,198","278,304",0,0,0,0,"4,448,007",,
Cane production:,,,,,,,,,,,,,,,
   Florida,"114,056","290,469","334,583","342,520","324,905","364,914","147,778","63,830",0,0,0,0,"1,983,056",,
   Louisiana,"534,205","604,027","566,285","118,394",0,0,0,0,0,0,0,0,"1,822,912",,
   Texas,"10,328","29,008","20,941","28,801","23,219","25,949","20,562","7,988",0,0,0,0,"166,797",,
       Subtotal,"658,590","923,504","921,809","489,715","348,124","390,863","168,340","71,818",0,0,0,0,"3,972,764",,
Total,"1,414,660","1,648,439","1,625,172","1,142,231","855,544","853,064","531,538","350,122",0,0,0,0,"8,420,771",,
,,,,,,,,,,,,,,,
FY 2017,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
From domestic sugar beets,"721,763","690,929","676,290","594,100","504,558","470,387","384,727","189,310","69,011","50,988","172,783","541,872","5,066,719",,
From imported sugar beets,0,0,0,0,"30,929","5,304",0,0,0,0,0,0,"36,233",,
       Subtotal,"721,763","690,929","676,290","594,100","535,487","475,692","384,727","189,310","69,011","50,988","172,783","541,872","5,102,952",,
Cane production:,,,,,,,,,,,,,,,
   Florida,"192,621","351,853","328,683","371,309","318,391","328,222","128,123","35,465",0,0,0,0,"2,054,667",,
   Hawaii,"23,121","14,731","5,346",0,0,0,0,0,0,0,0,0,"43,197",,
   Louisiana,"519,008","575,979","480,359","18,179",0,0,0,0,0,0,0,"34,918","1,628,443",,
   Texas,"24,533","24,511","23,813","23,450","24,230","14,988","4,812",0,0,0,0,0,"140,336",,
       Subtotal,"759,282","967,073","838,202","412,938","342,621","343,209","132,934","35,465",0,0,0,"34,918","3,866,644",,
Total,"1,481,045","1,658,003","1,514,492","1,007,038","878,108","818,901","517,662","224,775","69,011","50,988","172,783","576,790","8,969,596",,
,,,,,,,,,,,,,,,
1/ Numbers may not add due to rounding.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Table 5A. Beet Monthly Estimate FY 2018 - For the July 2018 WASDE 1/ 2/ 3/,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ITEM,MAY 17,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN 18,FEB,MAR,APR,MAY,JUN,
Sugar Beets Planted (Acres),"1,132,448","1,131,472","1,131,473","1,136,000","1,136,000","1,135,996","1,135,996","1,136,420","1,237,031","1,135,972","1,135,972","1,135,972","1,135,972","1,135,972",
Harvested to Planted Acres (Percent),99.2,99.2,97.6,97.4,98.6,99.4,99.0,98.6,90.5,98.6,98.6,98.6,98.6,98.6,
Sugar Beets Harvested (Acres),"1,123,755","1,122,879","1,104,840","1,106,298","1,120,504","1,129,233","1,124,932","1,120,118","1,120,119","1,119,862","1,119,862","1,119,812","1,119,862","1,119,862",
Sugar Beets Harvested per Acre (Tons),31,30.9,31.9,32.4,31.9,31.8,31.7,31.9,31.9,31.8,31.8,31.8,31.8,31.8,
Sugar Beets Harvested (Tons),"34,783,374","34,738,195","35,234,886","35,838,440","35,738,915","35,907,057","35,698,802","35,677,224","35,677,225","35,665,577","35,665,577","35,643,388","35,628,098","35,628,098",
Sugar Beets Purchased From Another Processor (Tons),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sugar Beets Harvested and Purchased (Tons),"34,783,374","34,738,195","35,234,886","35,838,440","35,738,915","35,907,057","35,698,802","35,677,224","35,677,225","35,665,577","35,665,577","35,643,388","35,628,098","35,628,098",
Weight (Shrink)/Gain (Percent),-6.7,-6.7,-7,-6.9,-6.7,-7.0,-7.1,-6.8,-7.2,-7.1,-7.2,-7.5,-8.0,-7.8,
Sugar Beets Sliced (Tons),"32,442,536","32,400,733","32,776,794","33,379,331","33,331,503","33,378,425","33,176,229","33,263,748","33,101,414","33,120,923","33,083,861","32,967,910","32,788,610","32,833,496",
Sugar Content in Beets Harvested (Percent),17.7,17.7,17.6,17.5,17.6,17.5,17.5,17.6,17.6,17.6,17.6,17.6,17.6,17.6,
Sugar Content in Cossetes to Sugar Content in Harvested Beets (Percent),98.9,98.9,98.9,99.4,98.9,98.9,99.4,98.9,99.4,99.4,99.4,99.4,99.4,99.4,
Sugar Content in Cossettes (Percent),17.5,17.5,17.4,17.4,17.4,17.3,17.4,17.4,17.5,17.5,17.5,17.5,17.5,17.5,
Extraction Rate (Percent),82.9,82.9,82.7,82.4,82.4,82.3,82.5,82.3,82.2,82.1,81.2,80.7,80.6,80.5,
Sugar Produced from Beets (STRV),"5,033,724","5,027,360","5,060,032","5,110,614","5,108,248","5,087,085","5,090,295","5,103,785","5,100,592","5,107,441","5,038,636","4,993,102","4,955,872","4,950,791",
Molasses Desugared (Tons),"1,144,271","1,144,271","1,139,271","1,132,890","1,139,326","1,090,797","1,072,157","1,090,645","1,091,272","1,082,579","1,097,078","1,152,207","1,150,207","1,149,932",
Tons Recovered per Ton of Molasses,0.3,0.3,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,
Sugar Produced from Molasses (STRV),"396,017","396,017","399,524","395,311","397,313","404,058","394,359","402,801","402,783","384,233","386,414","405,925","397,271","397,492",
Total Crop Year Sugar Produced (STRV),"5,429,741","5,423,377","5,459,556","5,505,925","5,505,561","5,491,143","5,484,654","5,506,586","5,503,375","5,491,674","5,425,050","5,399,027","5,353,144","5,348,283",
Previous September Production (STRV),"647,869","647,869","704,044","712,470","642,297","676,048","677,869","677,869","677,869","677,869","677,869","677,869","677,869","677,869",
Plus Next September Production (STRV),"640,365","640,365","653,740","661,631","634,022","634,022","634,022","634,022","634,022","634,022","634,022","612,622","639,988","682,497",
Fiscal Year Production (CWT 'as made'),"101,350,234","101,231,287","101,107,520","101,964,239","102,753,012","101,852,651","101,697,319","102,107,270","102,047,248","101,828,537","100,583,233","99,696,820","99,350,703","100,054,400",
Total Sugar Production Forecast (STRV),"5,422,238","5,415,874","5,409,252","5,455,087","5,497,286","5,449,117","5,440,807","5,462,739","5,459,528","5,447,827","5,381,203","5,333,780","5,315,263","5,352,910",
Forecast: Slice Days (Number of Days),187,187,187,189,189,189,189,189,189,189,189,189,173,197,
Forecast: Sugar Beets Sliced per Day (Tons),"20,803","13,923","22,431","22,422","21,909","22,089","22,082","23,283","22,103","22,115","22,115","22,004","23,981","21,531",
Forecast: Sugar Beets Sliced (Tons),"3,890,173","2,603,673","4,194,673","4,237,673","4,140,728","4,174,835","4,173,443","4,400,558","4,177,427","4,179,827","4,179,827","4,158,776","4,148,715","4,241,584",
Forecast: STRV Produced per Ton Sliced,0.14,0.22,0.14,0.14,0,0,0,0,0,0,0,0,0.14,0.14,
Forecast: Sugar Produced from Sugar Beets (STRV),"561,645","561,645","575,020","580,771","575,223","577,574","577,734","576,579","576,579","576,771","576,643","559,122","568,612","608,835",
Forecast: Sugar Produced from Juice and/or Molasses (STRV),"78,720","78,720","78,720","80,860","58,799","56,448","56,288","57,443","57,443","57,251","57,379","53,500","71,376","73,661",
Forecast: Total September Sugar Produced (STRV),"640,365","640,365","653,740","661,631","634,022","634,022","634,022","634,022","634,022","634,022","634,022","612,622","639,988","682,497",
"1/ NUMBERS MAY NOT ADD DUE TO ROUNDING. INCLUDES DAMAGED REFINED CRYSTALLINE SUGAR. DELIVERIES FROM DOMESTIC SUGAR BEET PROCESSORS, SUGARCANE PROCESSORS AND CANE",,,,,,,,,,,,,,,
"REFINERS.  2/ SHORT TONS RAW VALUE REPRESENTS 1.07 MULTIPLIED BY ACTUAL WEIGHT.  3/ INCLUDES ALL LIQUID, EDIBLE MOLASSES, SUGAR SYRUPS AND CANE JUICE.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Table 5B. Beet Monthly Forecast FY 2019 - For the July 2018 WASDE 1/ 2/ 3/,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ITEM,MAY 18,JUN,,,,,,,,,,,,,
Sugar Beets Planted (Acres),"1,119,091","1,115,678",,,,,,,,,,,,,
Harvested to Planted Acres (Percent),99.7,99.6,,,,,,,,,,,,,
Sugar Beets Harvested (Acres),"1,115,349","1,111,237",,,,,,,,,,,,,
Sugar Beets Harvested per Acre (Tons),31.7,31.8,,,,,,,,,,,,,
Sugar Beets Harvested (Tons),"35,356,803","35,296,674",,,,,,,,,,,,,
Sugar Beets Purchased From Another Processor (Tons),0,0,,,,,,,,,,,,,
Sugar Beets Harvested and Purchased (Tons),"35,356,803","35,296,674",,,,,,,,,,,,,
Weight (Shrink)/Gain (Percent),-7.0,-7.1,,,,,,,,,,,,,
Sugar Beets Sliced (Tons),"32,891,807","32,783,709",,,,,,,,,,,,,
Sugar Content in Beets Harvested (Percent),17.7,17.6,,,,,,,,,,,,,
Sugar Content in Cossetes to Sugar Content in Harvested Beets (Percent),98.9,98.9,,,,,,,,,,,,,
Sugar Content in Cossettes (Percent),17.5,17.4,,,,,,,,,,,,,
Extraction Rate (Percent),82.8,82.5,,,,,,,,,,,,,
Sugar Produced from Beets,"5,096,050","5,046,964",,,,,,,,,,,,,
Molasses Desugared (Tons),"1,179,824","1,179,824",,,,,,,,,,,,,
Tons Recovered per Ton of Molasses,0.3,0.3,,,,,,,,,,,,,
Sugar Produced from Molasses,"407,221","404,941",,,,,,,,,,,,,
Total Crop Year Sugar Produced,"5,503,271","5,451,905",,,,,,,,,,,,,
Previous September Production,"639,988","682,497",,,,,,,,,,,,,
