May 2018 SMD Report,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"TABLE 1.  U.S. SUGAR SUPPLY AND USE, FISCAL YEAR 2018 (SHORT TONS, RAW VALUE)  1/",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ITEM,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,TOTAL,,
  Non-crystalline 3/,"66,261","139,422","258,918","336,933","186,068",728,"988,329",,,,,,,,
,,,,,,,,,,,,,,,
"1/  Numbers may not add due to rounding.  Includes damaged refined crystalline sugar.  Deliveries from domestic sugar beet processors, sugarcane processors ",,,,,,,,,,,,,,,
"and cane sugar refiners.  2/  Short tons, raw value represents 1.07 multiplied by actual weight.  3/ Includes all liquid, edible molasses, sugar syrups and cane juice. ",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
TABLE 11:  U.S SUGAR DELIVERIES FOR HUMAN USE AND PRODUCTS RE-EXPORT,,,,,,,,,,,,,,,
BY REPORTERS FOR FISCAL YEARS 2018 AND 2017 (THRU MAY) AND PERCENT CHANGE 1/,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,FY 2018,FY 2017,PERCENT,,,,,,,,,,,,
PRODUCT OR BUSINESS OF BUYER,(OCT - MAY),(OCT - MAY),CHANGE,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Total Deliveries (actual weight),"7,039,744","7,081,925",-0.6,,,,,,,,,,,,
"  Bakery, cereal, and related products ","1,624,933","1,673,968",-2.9,,,,,,,,,,,,
  Confectionery and related products ,"792,224","742,483",6.7,,,,,,,,,,,,
  Ice cream and dairy products ,"527,130","498,383",5.8,,,,,,,,,,,,
  Beverages ,"452,337","449,672",0.6,,,,,,,,,,,,
"  Canned, bottled and frozen foods","243,227","273,563",-11.1,,,,,,,,,,,,
  Multiple and all other food uses,"798,162","603,743",32.2,,,,,,,,,,,,
  Non-food uses,"81,803","98,693",-17.1,,,,,,,,,,,,
"  Hotels, restaurants, institutions","63,181","55,217",14.4,,,,,,,,,,,,
"  Wholesale grocers, jobbers, dealers","1,413,719","1,491,354",-5.2,,,,,,,,,,,,
"  Retail grocers, chain stores ","815,898","793,738",2.8,,,,,,,,,,,,
  Government agencies,"8,456","8,725",-3.1,,,,,,,,,,,,
  All other deliveries,"218,674","392,385",-44.3,,,,,,,,,,,,
,.,.,.,,,,,,,,,,,,
"Total Deliveries (st,rv) 2/","7,532,526","7,577,660",-0.6,,,,,,,,,,,,
 Crystalline:,"6,544,197","6,579,393",-0.5,,,,,,,,,,,,
    Consumer-size packages,"1,504,077","1,469,388",2.4,,,,,,,,,,,,
    Packages 50 lbs and greater,"1,917,377","1,934,763",-0.9,,,,,,,,,,,,
    Unpackaged (bulk),"3,122,743","3,175,241",-1.7,,,,,,,,,,,,
  Non-crystalline 3/,"988,329","998,267",-1.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1/  Numbers may not add due to rounding.  Includes damaged refined crystalline sugar.  Deliveries from,,,,,,,,,,,,,,,
"domestic suar beet processors, sugarcane processors and cane sugar refiners.  2/ Short tons, raw value ",,,,,,,,,,,,,,,
"represents 1.07 multiplied by actual weight.  3/ Includes all liquid, edible molasses, sugar syrups and cane juice. ",,,,,,,,,,,,,,,
